Name,About,Tags,Website,Twitter
Aragon,"Aragon is a suite of applications and services that enable new forms of global communities.
Communities can organize around capital assets, currency, or tokens, which will increase in value as more people hold and use that asset to participate in the community.
By providing the tools for people to turn a community, cause, or even a meme into its own economy, we can unlock a long-tail of DAOs that are not limited just to protocols like Ethereum or Bitcoin.
Aragon not only provides basic financial tools like tokenization but can create reproducible and broadly applicable templates for defining the boundaries of a community and flowing value to contributors over the internet without traditional intermediaries.","Governance, Launcher, Treasury",https://aragon.org/,https://twitter.com/aragonproject?lang=es
Astro,"Astro is a no-code DAO creation platform. Astro allows DAO members to create & vote on proposals, set bounties, and manage a treasury. Astro sets up the DAO on the NEAR blockchain, which has interoperability and bridges to other L1 blockchains.","Governance, Launcher, Treasury",https://astrodao.com/,https://twitter.com/AstroDao
bip,"Bip is a community workspace with Git-editable documents and deep integrations with modern community spaces, such as Discord and Slack. Bip features include bots to export insightful community conversations, contributor leaderboards, permissions management, and social-driven discovery of new projects.",Knowledge Management,https://bip.so/,https://twitter.com/bip_so
Boardroom,"Boardroom is a governance & data portal for its integrated, mainly DeFi protocol DAOs. It offers a dashboard allowing easier participation, ideation workstreams, and real-time treasury & governance data; and an explorer for the integrated DAOs.",Governance,https://www.boardroom.info/,https://twitter.com/boardroom_info
BrightID,"DAO-governed, Bright ID is a social-graph identity network that pledges to store no personal data. It applies peer evaluatation to identify trusted prospective members as unique users of BrightID uesr dapps.",Identity,https://www.brightid.org/,https://twitter.com/BrightIDProject
Build a Funding DAO on Polygon,"In this tutorial, we will learn how to create a Decentralized Autonomous Organization, or ""DAO"" with a Solidity smart contract deployed on Polygon and a NextJS front-end to interact with the DAO.",DAO Guide,https://learn.figment.io/tutorials/funding-dao-polygon,
https://future.a16z.com/building-and-running-a-dao-why-governance-matters/,"A practical guide for DAOs' main functions, needs, and governance areas. Author: Tarun Chitra.",DAO Guide,https://future.a16z.com/building-and-running-a-dao-why-governance-matters/,
buildspace,"Learn and start building cool stuff, earn NFTs and access secret work opportunities in crypto. Among other projects, you can Build your own DAO with just Javascript in a weekend.",Infrastructure,https://buildspace.so/,https://twitter.com/_buildspace
Ceramic,"Ceramic is a decentralized network to hash-store, access, manage and interact between mutable data streams over IPFS, including custom revrtieval functions, Web3 identificatoin integrations and app-building.",Infrastructure,https://ceramic.network/,https://twitter.com/ceramicnetwork
Clarity,"Clarity is a knowledge management platform that mashes up features of Notion, Discord, and Slack, without all the clutter.",Knowledge Management,https://www.clarity.so/,https://twitter.com/clarityteams
Coinshift,Coinshift simplifies treasury management by providing efficient multisig tooling to save time & money for crypto organisations.,Treasury,https://coinshift.xyz/,https://twitter.com/0xCoinshift
Coinvise,"Powerful tools for creators to build & operate a DAO. Creators use Coinvise for minting a token, retroactive airdrops, crowdfunding & creating incentives for their community.","Contribution & Reputation, Infrastructure",https://www.coinvise.co/,https://twitter.com/CoinviseCo
Collab.land,"Collab.Land leverages the power of identity through crypto currency to create a social space unique to a specific network of humans.
Once you add the bot to your Telegram group or Discord guild, they will manage your people for you. Depending on their token holdings they will be allowed to join the community. If they sell, the bot boots them.","Governance, Identity",https://collab.land/,https://twitter.com/Collab_Land_
Colony,"The Colony platform offers a free suite of tools to launch and run DAOs - Colonies, which make up Colony as a DAO-of-DAOs. Served capabilities include native DAO setting & launching, token issuing & selling, and flexible structure, attention & treasury management tools.","Governance, Launcher, Treasury",https://colony.io/,https://twitter.com/joincolony
Commonwealth,"Commonwealth serves management tools and 1-stop integration platform for on-chain discussion, propsal-making & voting products, including identity services and native crowdfunding.","Discussion, Governance, Treasury",https://commonwealth.im/,https://twitter.com/hicommonwealth
https://compound.finance/docs/governance,"The Compound protocol is a DeFi pioneer in both financial producting and governance. Its simple-enough governance flow is used by some main(ly DeFi) DAOs. It includes user-set voting bars, voting delegation, execution delay, and an emergency function.","DeFi, Governance",https://compound.finance/docs/governance,https://twitter.com/compoundfinance
Coordinape,"Coordinape facilitates rewards to community members based on the recognition from their peers. Each member has a set amount of allocation points, and can allocate points to the contributors they have worked with based on what they think of their contributions.","Identity, Treasury",https://coordinape.com/,https://twitter.com/coordinape
DAO Haus (Moloch),"DAOHause is Moloch DAOs' factory. Manufactured DAOs bear a set of minimaly viable functions, including ragequit, delegation and emergency. DAOHause is governed by holders of the HAUS token - moloch DAOs, their members and contributors.","Governance, Launcher, Treasury",https://daohaus.club/,https://twitter.com/nowdaoit
DAO Masters,"Explore the tools to launch, manage, and grow a DAO.",DAO Guide,https://www.daomasters.xyz/,
https://static1.squarespace.com/static/564100e0e4b08c9445a5fc5d/t/5ec61d6241af4a208ba87f52/1590041969238/DAO+-+A+Decentralized+Governance+Layer+for+the+Internet+of+Value-1.pdf,"A clear, elaborated introduction to core DAO concepts, ecosystem, praxis, and more. Authors: George Samman, David Freuden.",DAO Guide,https://static1.squarespace.com/static/564100e0e4b08c9445a5fc5d/t/5ec61d6241af4a208ba87f52/1590041969238/DAO+-+A+Decentralized+Governance+Layer+for+the+Internet+of+Value-1.pdf,
DAOStack,"DAOstack has built software for creating, managing, and communicating between DAOs, including collective attention management, governance sandbox, UI and methods library. While it still serves, its development is currently idle.","Governance, Launcher, Treasury",https://daostack.io/,https://twitter.com/daostack
Decentralized autonomous organizations (DAOs),"The official Ethereum Foundation intro-take on DAOs, with further useful links.",DAO Guide,https://ethereum.org/en/dao/#what-are-daos,
DeepDAO,"DeepDAO collects and organizes a variety of quantitative and qualitative data about DAOs governance, their structure, people and decision-making. It currently serves interactive data dashboards, project descriptions, a DAO Tools go-to and a governerds' discord channel.","Analytics, Identity",https://deepdao.io/,https://twitter.com/DeepDAO_io
DGOV Foundation,"DGOV connects people to discover practices, implement technical solutions and create complex, scalable governance systems that create cohesion and allow people to flourish.",Governance,https://dgov.foundation/,https://twitter.com/dgovearth
Discord,"Discord offers a platform of multi-thread, media-rich content. It is widely used by DAOs for varied group and private communications, including as official part of decision-making.","Discussion, Governance",https://discord.com/,https://twitter.com/discord
Discourse,"Discourse is a free, integrative platform for community discussions and signaling. Its 5-level trust system rewards participation with permissions. It is widely used by DAOs to deliberate, draft governance proposals, signal opinion and manage community attention.","Discussion, Governance",https://www.discourse.org/,https://twitter.com/discourse
disperse,disperse is a simple and elegant solution to help DAOs batch payments or airdrops.,Treasury,https://disperse.app/,
Dune Analytics,"Dune Analytics is a powerful tool for blockchain research. Dune gives you all the tools to query, extract, and visualize vast amounts of data from the blockchain. Dune is unlocking the power of public blockchain data by making it accessible to everyone.",Analytics,https://dune.xyz/browse/dashboards,https://twitter.com/DuneAnalytics
